key,en,zh
Adjust According to Preference,Adjust According to Your Preference,按喜好调整
Open Depth Effect in Bottom Right (Some Wallpapers),Open Depth Effect in Bottom Right (Some Wallpapers),右下⾓打开景深效果(部分壁纸)
Click 'Done' Button in Top Right,Click 'Done' Button in Top Right,点击右上⾓ “完成” 按钮
Edit Avatar,Edit Avatar,修改头像
Cache Cleared Successfully,Cache Cleared Successfully,清理缓存成功
Logged In,Already Signed In,已登录
"Now, you can install the following 'Shortcuts' to enable automatic wallpaper change.
For detailed installation methods, please refer to 'Setup Tutorial'","Now, you can install the following 'Shortcuts' to enable automatic wallpaper changer.
For detailed installation methods, please refer to 'Setup Tutorial'","现在，你可以安装以下「快捷指令」，实现自动更换壁纸功能。
详细安装方法请参考「设置教程」"
Server is Taking a Break,Server Sneaks off,服务器在开小差
Generation Successful,Generation Successful,生成成功
Generation Failed,Generation Failed,生成失败
Search,Search,搜索
My Wallpapers,My Wallpapers,我的壁纸
Clear,Clear,清除
Server is Down,Server Crashed,服务器挂了
Subscription Discount,Subscription Discount,订阅优惠
Fetching Membership Plan ...,Fetching Membership Plan ...,获取会员计划 ...
Server Refused Execution,Server Refused to Execute,服务器拒绝执行
"Get the latest issue of Collection, randomly select a wallpaper, and automatically set it as lock screen and desktop wallpaper.","Get the latest issue of Collection, select a random wallpaper and automatically set it as Lock Screen and Home Screen wallpaper.",获取最新一期的 Collection 随机一张壁纸，并自动设置成锁屏和桌面壁纸。
Open,Open,打开
Wallpaper Download Failed,Wallpaper Download Failed,壁纸下载失败
Confirm Logout,Delete Account,确认删除账户
Unlimited Download Marketplace Wallpapers,Download Marketplace Wallpapers Without Restriction,无限下载市集壁纸
Invalid Request,Invalid Request,无效的请求
Switch Language,Change Language,切换语言
"More Automation Suggestions: 
","More Automation Suggestions: 
","更多自动化建议：
"
Please Enter Mobile Number,Please Enter Mobile Number,请输入手机号
Mobile Number Format Error,Mobile Number Format Error,手机号格式错误
Quantity,Quantity,数量
Clear Cache,Clear Cache,清理缓存
Logout Account,Delete Account,删除账户
🥳 You have unlocked all HD wallpaper originals,🥳 Congrats! You have unlocked all HD wallpaper in original,🥳您已解锁全部高清壁纸原片
Prompt,Prompts,提示
"Purchase Failed, Please Try Again Later","Purchase Failed, Please Try Again Later",购买失败，请稍后再试
"Swipe up for options menu, click 'Set as Wallpaper'","Swipe up for options menu, click 'Set as Wallpaper'",上划操作菜单，点击 “⽤作墙纸”
Automatically Change Wallpaper,Automatically Change Wallpaper,自动更换壁纸
Daily Surprise,Daily Surprise,每日惊喜
Unable to Connect to Server,Unable to Connect to the Server,无法连接服务器
Completed 🎉,Completed 🎉,完成 🎉
"Login Failed, Please Try Again Later","Sign In Failed, Please Try Again Later","登录失败,请稍后重新尝试"
Exit Preview,Exit Preview,退出预览
Red Account,Xiaohongshu Account,小红书账号
Premium Account Benefits:,Premium Account Benefits:,高级帐户福利:
"Video Imported Successfully, Please Click to Generate","Video Imported Successfully, Please Click Generate","视频导入成功, 请点击生成"
Settings,Settings,设置
Generate Live Photo,Generate Live Photo,生成 Live Photo
Restoring Purchase...,Restoring Purchase...,恢复购买中...
Search Wallpaper Name or Code,Search Wallpaper By Name or Code,搜索壁纸名称或编号
View,View,查看
Continue,Continue,继续
Setup Tutorial,Setup Tutorial,设置教程
Logout,Sign Out,退出登录
Rate the app,Rate Us,给设计师个好评
Image Save Failed,Save Failed,图片保存失败
Empty,Empty Here,空空如也
Account Logout Instructions,Account Deletion Instructions,账户删除说明
WeChat Login Failed,WeChat Sign In Failed,微信登录失败
Step 3,Step 3,步骤3
Not Logged In,Sign In,未登录
Connection Timeout,Connection Timeout,连接超时
Subscribing,Subscribing,订阅中
Step 2,Step 2,步骤2
Account Logout Successful,Account Deleted Successfully,账户删除成功
Subscription Status Error? Please Restore Purchase,Subscription Status Error? Restore Purchase,订阅状态出错？恢复购买
Restore Purchase Successful,Restore Purchase Successfully,恢复购买成功
User Agreement,User Agreement,用户协议
Step 4,Step 4,步骤4
Select Video,Select Video,选择视频
"Later, Take a Look First","Maybe Later, Take a Look First",稍后，先看看
Save Successful,Saved Successfully,保存成功
Request Timeout,Request Timeout,请求超时
